description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
map scour	1			100	18	361	0		2	t2me,qty=1	scou,qty=1						usetype,nor			100																																																																																				0
map upgrade mag to rare	1			100	18	361	0		4	t3me,mag,qty=1	r1pg,qty=1	gg4z,qty=1	upma,qty=1				usetype,rar			100																																																																																				0
map reroll rare	1			100	18	361	0		4	t3me,rar,qty=1	r1pg,qty=1	ggm4,qty=1	rera,qty=1				usetype,rar			100																																																																																				0
map imbue magic	1			100	18	361	0		3	t3me,nor,qty=1	jewg,qty=1	imma,qty=1					usetype,mag			100																																																																																				0
map imbue rare	1			100	18	361	0		4	t3me,nor,qty=1	imra,qty=1	jewg,qty=1	r1pg,qty=1				usetype,rar			100																																																																																				0
map scour	1			100	18	361	0		2	t3me,qty=1	scou,qty=1						usetype,nor			100																																																																																				0
map upgrade tier 1 to tier 2	1			0					2	t1me,qty=3	upmp,qty=1						t2me			100																																																																																				0
map upgrade tier 2 to tier 3	1			0					2	t2me,qty=3	upmp,qty=1						t3me			100																																																																																				0
map upgrade tier 3 to dungeon	1			0					2	t3me,qty=1	scrb,qty=1						t4me,rar			100	map-mon-velocity%	100		20	30	map-mon-att-pierce	100		80	100	map-mon-splash	100	358	100	1	map-mon-nofreeze-hp%	100		10	20	map-play-addxp	100		40	50																																																											0
Staff of Kings + Viper amulet -> Horadric Staff	1			0	28				2	msf	vip						hst																																																																																							0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1			0	28				2	leg	tbk						Cow Portal																																																																																							0
3 health potions + 3 mana potions + 1 standard gem -> full rejuvenate potion	1			0					3	hpot,qty=3	mpot,qty=3	gem2					rvl																																																																																							0
3 health potions +  3 mana potions + 1 chipped gem -> rejuvenate potion	1			0					3	hpot,qty=3	mpot,qty=3	gem0					rvs																																																																																							0
3 small rejuvs -> one large	1			0					1	rvs,qty=3							rvl																																																																																							0
1 perfect gem of each type + 1 amulet -> prismatic amulet	1			0					7	amu,mag	gg4a,qty=1	gg4d,qty=1	gg4e,qty=1	gg4r,qty=1	gg4s,qty=1	gg4t,qty=1	amu,mag,pre=331	50																																																																																						0
1 ring + 1 perfect ruby + 1 exploding potions -> garnet ring	1			0					3	rin,mag	gg4r,qty=1	opm					rin,mag,pre=372	30																																																																																						0
1 ring + 1 perfect sapphire + 1 thawing potions-> cobalt ring	1			0					3	rin,mag	gg4s,qty=1	wms					rin,mag,pre=353	30																																																																																						0
1 ring + 1 perfect topaz + 1 rejuvenation -> coral ring	1			0					3	rin,mag	gg4t,qty=1	rvs					rin,mag,pre=392	30																																																																																						0
1 ring + 1 emerald + 1 antidote potions -> jade ring	1			0					3	rin,mag	gg4e,qty=1	yps					rin,mag,pre=412	30																																																																																						0
1 axe + 1 dagger -> throwing axe	1			0					2	axe	knif						tax,nor																																																																																							0
1 spear + 1 arrow quiver -> javelins	1			0					2	spea	aqv						jav,nor																																																																																							0
3 rings -> amulet	1			0					1	rin,mag,qty=3							amu,mag		75																																																																																					0
3 amulets -> ring	1			0					1	amu,mag,qty=3							rin,mag		75																																																																																					0
3 standard gems + 1 socketed weapon ->  magic, socketable weapon	1			0					2	weap,sock	gem2,qty=3						usetype,mag	30		60	sock			1	2																																																																															0
3 flawless gems + 1 magic weapon -> socketed, magic weapon	1			2					2	weap,mag	ggm3,qty=3						usetype,mag	30		60	sock			1	2																																																																															0
1 magic small shield + 1 spiked club + 2 skulls -> shield of spikes	1			3					3	shld,mag	ggmz,qty=2	spc					usetype,mag,suf=162	30		60																																																																																				0
4 health potion + 1 ruby + 1 magic sword -> sword of the leech	1			0					3	swor,mag	ggmr,qty=1	hpot,qty=4					usetype,mag,suf=352	30		60																																																																																				0
1 diamond + 1 kriss + 1 staff + 1 belt -> savage polearm	1			0					4	kri	ggmd,qty=1	staf	belt				pole,mag,pre=191	50		60																																																																																				0
1 strangling gas potion + 1 health potion -> antidote potion	1			0					2	gpl	hpot						yps																																																																																							0
2 arrows -> bolts	0			0					1	aqv,qty=2							cqv,nor																																																																																							0
2 bolts -> arrows	0			0					1	cqv,qty=2							aqv,nor																																																																																							0
3 chipped amethysts -> flawed amethyst	1			0					1	gcv,qty=3							gfv																																																																																							0
3 flawed amethysts -> standard amethyst	1			0					1	gfv,qty=3							gsv																																																																																							0
3 standard amethysts -> flawless amethyst	1			0					1	gsv,qty=3							gzv																																																																																							0
48 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=48						useitem			100																										gpvs,qty=16																																																										0
45 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=45						useitem			100																										gpvs,qty=15																																																										0
42 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=42						useitem			100																										gpvs,qty=14																																																										0
39 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=39						useitem			100																										gpvs,qty=13																																																										0
36 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=36						useitem			100																										gpvs,qty=12																																																										0
33 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=33						useitem			100																										gpvs,qty=11																																																										0
30 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=30						useitem			100																										gpvs,qty=10																																																										0
27 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=27						useitem			100																										gpvs,qty=9																																																										0
24 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=24						useitem			100																										gpvs,qty=8																																																										0
21 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=21						useitem			100																										gpvs,qty=7																																																										0
18 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=18						useitem			100																										gpvs,qty=6																																																										0
15 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=15						useitem			100																										gpvs,qty=5																																																										0
12 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=12						useitem			100																										gpvs,qty=4																																																										0
9 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=9						useitem			100																										gpvs,qty=3																																																										0
6 flawless amethysts -> perfect amethysts	1			0					2	key,qty=1	gzvs,qty=6						useitem			100																										gpvs,qty=2																																																										0
3 flawless amethysts -> perfect amethyst	1			0					2	key,qty=1	gzvs,qty=3						useitem			100																										gpvs																																																										0
3 chipped rubies -> flawed ruby	1			0					1	gcr,qty=3							gfr																																																																																							0
3 flawed rubies -> standard ruby	1			0					1	gfr,qty=3							gsr																																																																																							0
3 standard rubies -> flawless ruby	1			0					1	gsr,qty=3							glr																																																																																							0
48 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=48						useitem			100																										gprs,qty=16																																																										0
45 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=45						useitem			100																										gprs,qty=15																																																										0
42 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=42						useitem			100																										gprs,qty=14																																																										0
39 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=39						useitem			100																										gprs,qty=13																																																										0
36 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=36						useitem			100																										gprs,qty=12																																																										0
33 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=33						useitem			100																										gprs,qty=11																																																										0
30 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=30						useitem			100																										gprs,qty=10																																																										0
27 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=27						useitem			100																										gprs,qty=9																																																										0
24 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=24						useitem			100																										gprs,qty=8																																																										0
21 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=21						useitem			100																										gprs,qty=7																																																										0
18 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=18						useitem			100																										gprs,qty=6																																																										0
15 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=15						useitem			100																										gprs,qty=5																																																										0
12 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=12						useitem			100																										gprs,qty=4																																																										0
9 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=9						useitem			100																										gprs,qty=3																																																										0
6 flawless rubies -> perfect rubies	1			0					2	key,qty=1	glrs,qty=6						useitem			100																										gprs,qty=2																																																										0
3 flawless rubies -> perfect ruby	1			0					2	key,qty=1	glrs,qty=3						useitem			100																										gprs																																																										0
3 chipped sapphires -> flawed sapphire	1			0					1	gcb,qty=3							gfb																																																																																							0
3 flawed sapphires -> standard sapphire	1			0					1	gfb,qty=3							gsb																																																																																							0
3 standard sapphires -> flawless sapphire	1			0					1	gsb,qty=3							glb																																																																																							0
48 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=48						useitem			100																										gpbs,qty=16																																																										0
45 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=45						useitem			100																										gpbs,qty=15																																																										0
42 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=42						useitem			100																										gpbs,qty=14																																																										0
39 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=39						useitem			100																										gpbs,qty=13																																																										0
36 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=36						useitem			100																										gpbs,qty=12																																																										0
33 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=33						useitem			100																										gpbs,qty=11																																																										0
30 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=30						useitem			100																										gpbs,qty=10																																																										0
27 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=27						useitem			100																										gpbs,qty=9																																																										0
24 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=24						useitem			100																										gpbs,qty=8																																																										0
21 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=21						useitem			100																										gpbs,qty=7																																																										0
18 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=18						useitem			100																										gpbs,qty=6																																																										0
15 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=15						useitem			100																										gpbs,qty=5																																																										0
12 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=12						useitem			100																										gpbs,qty=4																																																										0
9 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=9						useitem			100																										gpbs,qty=3																																																										0
6 flawless sapphires -> perfect sapphires	1			0					2	key,qty=1	glbs,qty=6						useitem			100																										gpbs,qty=2																																																										0
3 flawless sapphires -> perfect sapphire	1			0					2	key,qty=1	glbs,qty=3						useitem			100																										gpbs																																																										0
3 chipped topazes -> flawed topaz	1			0					1	gcy,qty=3							gfy																																																																																							0
3 flawed topazes -> standard topaz	1			0					1	gfy,qty=3							gsy																																																																																							0
3 standard topazes -> flawless topaz	1			0					1	gsy,qty=3							gly																																																																																							0
48 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=48						useitem			100																										gpys,qty=16																																																										0
45 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=45						useitem			100																										gpys,qty=15																																																										0
42 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=42						useitem			100																										gpys,qty=14																																																										0
39 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=39						useitem			100																										gpys,qty=13																																																										0
36 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=36						useitem			100																										gpys,qty=12																																																										0
33 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=33						useitem			100																										gpys,qty=11																																																										0
30 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=30						useitem			100																										gpys,qty=10																																																										0
27 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=27						useitem			100																										gpys,qty=9																																																										0
24 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=24						useitem			100																										gpys,qty=8																																																										0
21 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=21						useitem			100																										gpys,qty=7																																																										0
18 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=18						useitem			100																										gpys,qty=6																																																										0
15 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=15						useitem			100																										gpys,qty=5																																																										0
12 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=12						useitem			100																										gpys,qty=4																																																										0
9 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=9						useitem			100																										gpys,qty=3																																																										0
6 flawless topazes -> perfect topazes	1			0					2	key,qty=1	glys,qty=6						useitem			100																										gpys,qty=2																																																										0
3 flawless topazes -> perfect topaz	1			0					2	key,qty=1	glys,qty=3						useitem			100																										gpys																																																										0
3 chipped emeralds -> flawed emerald	1			0					1	gcg,qty=3							gfg																																																																																							0
3 flawed emeralds -> standard emerald	1			0					1	gfg,qty=3							gsg																																																																																							0
3 standard emeralds -> flawless emerald	1			0					1	gsg,qty=3							glg																																																																																							0
48 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=48						useitem			100																										gpgs,qty=16																																																										0
45 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=45						useitem			100																										gpgs,qty=15																																																										0
42 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=42						useitem			100																										gpgs,qty=14																																																										0
39 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=39						useitem			100																										gpgs,qty=13																																																										0
36 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=36						useitem			100																										gpgs,qty=12																																																										0
33 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=33						useitem			100																										gpgs,qty=11																																																										0
30 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=30						useitem			100																										gpgs,qty=10																																																										0
27 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=27						useitem			100																										gpgs,qty=9																																																										0
24 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=24						useitem			100																										gpgs,qty=8																																																										0
21 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=21						useitem			100																										gpgs,qty=7																																																										0
18 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=18						useitem			100																										gpgs,qty=6																																																										0
15 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=15						useitem			100																										gpgs,qty=5																																																										0
12 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=12						useitem			100																										gpgs,qty=4																																																										0
9 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=9						useitem			100																										gpgs,qty=3																																																										0
6 flawless emeralds -> perfect emeralds	1			0					2	key,qty=1	gg3e,qty=6						useitem			100																										gpgs,qty=2																																																										0
3 flawless emeralds -> perfect emerald	1			0					2	key,qty=1	gg3e,qty=3						useitem			100																										gpgs																																																										0
3 chipped diamonds -> flawed diamond	1			0					1	gcw,qty=3							gfw																																																																																							0
3 flawed diamonds -> standard diamond	1			0					1	gfw,qty=3							gsw																																																																																							0
3 standard diamonds -> flawless diamond	1			0					1	gsw,qty=3							glw																																																																																							0
48 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=48						useitem			100																										gpws,qty=16																																																										0
45 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=45						useitem			100																										gpws,qty=15																																																										0
42 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=42						useitem			100																										gpws,qty=14																																																										0
39 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=39						useitem			100																										gpws,qty=13																																																										0
36 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=36						useitem			100																										gpws,qty=12																																																										0
33 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=33						useitem			100																										gpws,qty=11																																																										0
30 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=30						useitem			100																										gpws,qty=10																																																										0
27 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=27						useitem			100																										gpws,qty=9																																																										0
24 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=24						useitem			100																										gpws,qty=8																																																										0
21 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=21						useitem			100																										gpws,qty=7																																																										0
18 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=18						useitem			100																										gpws,qty=6																																																										0
15 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=15						useitem			100																										gpws,qty=5																																																										0
12 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=12						useitem			100																										gpws,qty=4																																																										0
9 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=9						useitem			100																										gpws,qty=3																																																										0
6 flawless diamonds -> perfect diamonds	1			0					2	key,qty=1	glws,qty=6						useitem			100																										gpws,qty=2																																																										0
3 flawless diamonds -> perfect diamond	1			0					2	key,qty=1	glws,qty=3						useitem			100																										gpws																																																										0
3 chipped skulls -> flawed skull	1			0					1	skc,qty=3							skf																																																																																							0
3 flawed skulls -> standard skull	1			0					1	skf,qty=3							sku																																																																																							0
3 standard skulls -> flawless skull	1			0					1	sku,qty=3							skl																																																																																							0
48 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=48						useitem			100																										skzs,qty=16																																																										0
45 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=45						useitem			100																										skzs,qty=15																																																										0
42 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=42						useitem			100																										skzs,qty=14																																																										0
39 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=39						useitem			100																										skzs,qty=13																																																										0
36 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=36						useitem			100																										skzs,qty=12																																																										0
33 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=33						useitem			100																										skzs,qty=11																																																										0
30 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=30						useitem			100																										skzs,qty=10																																																										0
27 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=27						useitem			100																										skzs,qty=9																																																										0
24 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=24						useitem			100																										skzs,qty=8																																																										0
21 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=21						useitem			100																										skzs,qty=7																																																										0
18 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=18						useitem			100																										skzs,qty=6																																																										0
15 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=15						useitem			100																										skzs,qty=5																																																										0
12 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=12						useitem			100																										skzs,qty=4																																																										0
9 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=9						useitem			100																										skzs,qty=3																																																										0
6 flawless skulls -> perfect skulls	1			0					2	key,qty=1	skls,qty=6						useitem			100																										skzs,qty=2																																																										0
3 flawless skulls -> perfect skull	1			0					2	key,qty=1	skls,qty=3						useitem			100																										skzs																																																										0
3 rune 01 -> rune 02	1			100					2	key,qty=1	r01,qty=3						useitem			100																										r02																																																										0
3 rune 02 -> rune 03	1			100					2	key,qty=1	r02,qty=3						useitem			100																										r03																																																										0
3 rune 03 -> rune 04	1			100					2	key,qty=1	r03,qty=3						useitem			100																										r04																																																										0
3 rune 04 -> rune 05	1			100					2	key,qty=1	r04,qty=3						useitem			100																										r05																																																										0
3 rune 05 -> rune 06	1			100					2	key,qty=1	r05,qty=3						useitem			100																										r06																																																										0
3 rune 06 -> rune 07	1			100					2	key,qty=1	r06,qty=3						useitem			100																										r07																																																										0
3 rune 07 -> rune 08	1			100					2	key,qty=1	r07,qty=3						useitem			100																										r08																																																										0
3 rune 08 -> rune 09	1			100					2	key,qty=1	r08,qty=3						useitem			100																										r09																																																										0
3 rune 09 -> rune 10	1			100					2	key,qty=1	r09,qty=3						useitem			100																										r10																																																										0
3 rune 01 -> rune 02	1			100					2	key,qty=1	r01s,qty=3						useitem			100																										r02s																																																										0
3 rune 02 -> rune 03	1			100					2	key,qty=1	r02s,qty=3						useitem			100																										r03s																																																										0
3 rune 03 -> rune 04	1			100					2	key,qty=1	r03s,qty=3						useitem			100																										r04s																																																										0
3 rune 04 -> rune 05	1			100					2	key,qty=1	r04s,qty=3						useitem			100																										r05s																																																										0
3 rune 05 -> rune 06	1			100					2	key,qty=1	r05s,qty=3						useitem			100																										r06s																																																										0
3 rune 06 -> rune 07	1			100					2	key,qty=1	r06s,qty=3						useitem			100																										r07s																																																										0
3 rune 07 -> rune 08	1			100					2	key,qty=1	r07s,qty=3						useitem			100																										r08s																																																										0
3 rune 08 -> rune 09	1			100					2	key,qty=1	r08s,qty=3						useitem			100																										r09s																																																										0
3 rune 09 -> rune 10	1			100					2	key,qty=1	r09s,qty=3						useitem			100																										r10s																																																										0
magic full helm + jewel + rune 06 + perfect sapphire -> hitpower helm	1			200					4	helm,mag,noe	jewg,qty=1	r06g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	att			100	200																																																																					0
magic full helm + jewel + rune 06 + perfect sapphire -> hitpower helm	1			200					4	helm,mag,eth	jewg,qty=1	r06g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	att			100	200	ethereal	100		1	1																																																																0
magic chain boots + jewel + rune 08 + perfect sapphire -> hitpower boots	1			100					4	boot,mag,noe	jewg,qty=1	r08g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	ac-hth			25	60																																																																					0
magic chain boots + jewel + rune 08 + perfect sapphire -> hitpower boots	1			100					4	boot,mag,eth	jewg,qty=1	r08g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	10	ac-hth			25	60	ethereal	100		1	1																																																																0
magic chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	1			100					4	glov,mag,noe	jewg,qty=1	r09g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	knock			1	1																																																																					0
magic chain gloves + jewel + rune 09 + perfect sapphire -> hitpower gloves	1			100					4	glov,mag,eth	jewg,qty=1	r09g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	reduce-ac			10	20	knock			1	1	ethereal	100		1	1																																																																0
magic heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	1			100					4	belt,mag,noe	jewg,qty=1	r07g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	dmg-to-mana			5	10																																																																					0
magic heavy belt + jewel + rune 07 + perfect sapphire -> hitpower belt	1			100					4	belt,mag,eth	jewg,qty=1	r07g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	balance1			10	20	dmg-to-mana			5	10	ethereal	100		1	1																																																																0
magic gothic shield + jewel + rune 05 + perfect sapphire -> hitpower shield	1			100					4	shld,mag,noe	jewg,qty=1	r05g,qty=1	gg4s,qty=1				usetype,crf		50	50	gethit-skill		44	5	4	block2			20	30	block			10	20																																																																					0
