Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword37	Exile's Path	1		shld									VexOhmIstDol	r26	r27	r24	r14			block2		30	30	freeze		1	1	ac%		260	260	aura	Defiance	16	16	skilltab	10	2	2	hit-skill	Decrepify Proc	25	18	rep-dur	25			0
Runeword39	Famine	1		axe	hamm	swor							FalOhmOrtJah	r19	r27	r09	r31			dmg%		330	330	pierce-cold		15	15	swing2		30	30	pierce-fire		15	15	pierce-ltng		15	15	dmg-elem	100	100	225	dmg-fire		25	25	0
Runeword48	Hand of Justice	1		weap									SurChamAmnLo	r29	r32	r11	r28			swing2		33	33	dmg%		330	330	aura	Holy Fire	12	12	levelup-skill	Blaze	100	36	death-skill	Meteor	100	48	ignore-ac		1	1	pierce-fire		20	20	0
Runeword51	Heart of the Oak	1		staf	mace								KoVexPulThul	r18	r26	r21	r10			cast2		30	30	charged	Raven	60	14	mana%		15	15	allskills		3	3	regen		20	20	res-all		30	30	charged	226	25	4	0
Runeword66	Kingslayer	1		swor	axe								MalUmGulFal	r23	r22	r25	r19			swing2		30	30	dmg%		270	270	reduce-ac		25	25	crush		33	33	dmg-cold	50	250	500	oskill	Vengeance	10	10	rep-dur	10			0
Runeword95	Passion	1		weap									DolOrtEldLem	r14	r09	r02	r20			dmg%		210	210	oskill	Zeal	1	1	att%		80	80	oskill	Concentrate	1	1	swing2		25	25	charged	Heart of Wolverine	36	8	stupidity		10	10	0
Runeword45	Gloom	1		tors									FalUmPul	r19	r22	r21				ac%		230	230	res-all		30	30	gethit-skill	Dim Vision	15	9	balance2		40	40	dmg-to-mana		5	5	curse-effectiveness		20	20	half-freeze		1	1	0
Runeword122	Sanctuary	1		shld									KoKoMal	r18	r18	r23				block		20	20	block2		20	20	ac%		160	160	charged	Slow Movement	60	12	res-all		50	50	balance2		20	20	nofreeze		1	1	0
Runeword16	Chaos	1		h2h									FalOhmUm	r19	r27	r22				demon-heal		15	15	dmg%		250	250	dmg-mag		200	400	skill	Blade Dance	2	2	hit-skill	Charged Bolt	18	40	hit-skill	Frozen Orb	20	30	indestruct		1	1	0
Runeword4	The Beast	1		axe	scep	hamm	staf						BerTirUmMalLum	r30	r03	r22	r23	r17		swing2		40	40	aura	Fanaticism	10	10	dmg%		290	290	oskill	Hunger	3	3	charged	Summon Grizzly	35	13	oskill	Wearbear	3	3	oskill	Maul	3	3	0
Runeword123	Serendipity																																															0
Runeword124	Shadow																																															0
Runeword125	Shadow of Doubt																																															0
Runeword127	Siren's Song																																															0
Runeword129	Sorrow																			ease		20	20																									0
Runeword130	Spirit	1		swor	shld								TalThulOrtAmn	r07	r10	r09	r11			balance3		25	25	mana		82	82	ease		-15	-15	vit		22	22	cast3		35	35	abs-mag		8	8	allskills		1	1	0
Runeword131	Splendor	1		shld										r05	r17					light		3	3	gold%		50	50	mag%		30	30	ac%		100	100	block2		20	20	cast2		35	35	allskills		1	1	0
Runeword132	Starlight																																															0
Runeword135	Still Water																																															0
Runeword30	Duress	1		tors									ShaelUmThul	r13	r22	r10				dmg-cold	50	37	133	dmg%		80	80	ac%		200	200	balance2		20	20	openwounds		33	33	crush		15	15	stamdrain		-20	-20	0
Runeword138	Storm																																															0
Runeword140	Tempest																																															0
Runeword141	Temptation																																															0
Runeword142	Terror																																															0
Runeword90	Nightfall																																															0
Runeword91	Oath	1		swor	axe	mace							ShaelPulMalLum	r13	r21	r23	r17			dmg%		340	340	swing1		30	30	hit-skill	Bone Spirit	30	20	indestruct		1	1	charged	Heart of Wolverine	20	16	abs-mag		15	15	rep-charge	33			0
Runeword92	Obedience	1		pole	spea	hamm							HelKoThulEthFal	r15	r18	r10	r05	r19		dmg%		320	320	crush		40	40	kill-skill	enchant	30	21	pierce-fire		25	25	ac		300	300	balance3		40	40	res-all		30	30	0
Runeword93	Oblivion																																															0
Runeword94	Obsession	1		staf									ZodIstLemLumIoNef	r33	r24	r20	r17	r16	r04	allskills		4	4	cast2		15	15	cast-skill	Weaken	24	10	hp%		25	25	res-all		70	70	balance2		60	60	regen-mana		30	30	0
Runeword49	Harmony	1		miss									TirIthSolKo	r03	r06	r12	r18			dmg%		275	275	dmg-elem		55	160	charged	Revive	25	20	aura	Vigor	10	10	regen-mana		20	20	light		2	2	skill	32	6	6	0
Runeword50	Hatred																																															0
Runeword40	Flickering Flame	1		helm									NefPulVex	r04	r21	r26				aura	resist fire	6	6	fireskill		2	2	pierce-fire		10	10	mana		75	75	half-freeze		1	1	res-pois-len		25	25					0
Runeword41	Fortitude	1		tors									ElSolDolLo	r01	r12	r14	r28			ac%		200	200	dmg%		300	300	cast3		25	25	dmg-to-mana		12	12	hp/lvl		12	12	res-all		30	30					0
Runeword42	Fortune's Favor																																															0
Runeword89	Nature's Kingdom																																															0
Runeword46	Glory																																															0
Runeword38	Faith	1		miss									OhmJahLemEld	r27	r31	r20	r02			dmg%		260	260	att%		300	300	dmg-fire		120	120	res-all		15	15	aura	fanaticism	15	15	reanimate	1	8	8					0
Runeword43	Amity																																															0
Runeword2	Armageddon																																															0
Runeword3	Authority																																															0
Runeword5	Beauty																																															0
Runeword7	Blood			helm																																												0
Runeword8	Bone	1		tors									SolUmUm	r12	r22	r22				hit-skill	Bone Spear	30	25	gethit-skill	Bone Armor	10	15	nec		2	2	mana		150	150													0
Runeword10	Brand	1		miss									JahLoMalGul	r31	r28	r23	r25			dmg%		340	340	dmg-demon		330	330	hit-skill	84	50	45	gethit-skill	AmpDmg Proc	65	31	knock		1	1	explosivearrow		15	15	extra-skele-archer		6	6	0
Runeword12	Broken Promise																																															0
Runeword15	Chance																																															0
Runeword136	Sting																																															0
Runeword18	Darkness																																															0
Runeword19	Daylight																																															0
Runeword20	Death	1		swor	axe								HelElVexOrtGul	r15	r01	r26	r09	r25		dmg%		355	355	deadly/lvl	2			oskill	BloodGolem	18	18	att-skill	Glacial Spike	25	18	death-skill	Chain Lightning	100	44	crush		50	50	indestruct		1	1	0
Runeword21	Deception																																															0
Runeword23	Desire																																															0
Runeword24	Despair																																															0
Runeword32	Destiny's Daughter																																															0
Runeword25	Destruction	1		pole	swor	spea							VexLoBerJahKo	r26	r28	r30	r31	r18		dmg%		300	300	swing2		40	40	hit-skill	Molten Boulder	8	35	hit-skill	Meteor	15	45	att-skill	Nova	15	40	hit-skill	Frost Nova	20	35					0
Runeword27	Dragon	1		tors	shld								SurLoSol	r29	r28	r12				ac		360	360	ac-miss		230	230	str/lvl	3			hit-skill	Hydra	12	28	gethit-skill	Venom	20	18	aura	Holy Fire	12	12	extra-hydra		1	1	0
Runeword28	Dread																																															0
Runeword29	Dream	1		helm	shld								IoJahPul	r16	r31	r21				ac		220	220	gethit-skill	Confuse	10	15	mana/lvl	5			res-all		20	20	balance3		30	30	aura	Holy Shock	13	13	mag%		30	30	0
Runeword56	Dweomer																																															0
Runeword31	Edge	1		miss									TirTalAmn	r03	r07	r11				dmg-demon		380	380	dmg-undead		280	280	swing2		35	35	noheal		1	1	aura	Thorns	15	15	all-stats		10	10	cheap		15	15	0
Runeword34	Enlightenment	1		tors									PulRalSol	r21	r08	r12				cast-skill	Fire Ball	15	28	gethit-skill	Blaze	35	25	sor		2	2	oskill	Warmth	8	8	cast2		20	20									0
Runeword35	Envy																																															0
Runeword52	Heaven's Will																																															0
Runeword53	Holy Tears																																															0
Runeword57	Humility																																															0
Runeword58	Hunger																																															0
Runeword59	Ice	1		miss									AmnShaelJahLo	r11	r13	r31	r28			dmg%		210	210	aura	Holy Freeze	18	18	extra-cold		30	30	hit-skill	Frost Nova	20	32	levelup-skill	Blizzard	100	40	pierce-cold		20	20	gold%/lvl	25			0
Runeword60	Infinity	1		pole	spea								BerMalBerIst	r30	r23	r30	r24			dmg%		325	325	move2		35	35	vit/lvl	4			aura	Conviction	12	12	kill-skill	Lightning	50	20	pierce-ltng		55	55	oskill	Cyclone Armor	3	3	0
Runeword61	Innocence	1		tors									GulLemZodHel	r25	r20	r33	r15			allskills		2	2	thorns		800	800	equipped-skill	Blade Shield SelfAura	12	12	ac%		275	275	crush		20	20	res-pois-len		50	50	ease		-10	-10	0
Runeword62	Insight	1		pole	staf	spea	scep						RalTirTalSol	r08	r03	r07	r12			dmg%		180	180	att%		250	250	mag%		23	23	oskill	Critical Strike	6	6	cast2		35	35	aura	Meditation	17	17	all-stats		20	20	0
Runeword63	Jealousy																																															0
Runeword64	Judgment																																															0
Runeword67	Knight's Vigil																																															0
Runeword69	Last Wish	1		swor	hamm	axe	staf						JahMalJahSurJahBer	r31	r23	r31	r29	r31	r30	dmg%		375	375	att-skill	Charged Bolt	60	40	hit-skill	Life Tap Proc	10	11	gethit-skill	Fade	6	11	crush		50	50	mag%/lvl	4			aura	Might	17	17	0
Runeword70	Law																																															0
Runeword71	Lawbringer	1		swor	hamm	scep	h2h						AmnLemKo	r11	r20	r18				dmg-cold		130	180	dmg-fire		150	210	dmg%		200	200	hit-skill	Decrepify Proc	20	15	ac-miss		250	250	rip		1	1	reduce-ac		50	50	0
Runeword73	Lightning																																															0
Runeword77	Loyalty																																															0
Runeword78	Lust																																															0
Runeword79	Madness																																															0
Runeword84	Mist	1		miss									ChamShaelGulThulIth	r32	r13	r25	r10	r06		aura	concentration	12	12	allskills		2	2	res-all		40	40	vit		30	30	pierce		100	100	dmg%		375	375					0
Runeword85	Morning Dew																																															0
Runeword86	Mystery																																															0
Runeword87	Myth	1		tors									HelAmnNef	r15	r11	r04				hit-skill	Taunt	5	1	gethit-skill	Howl	3	1	bar		2	2	regen		10	10	thorns/lvl		24	24	mana-kill		4	4					0
Runeword95	Patience																																															0
Runeword97	Pattern	1		h2h										r07	r09	r03				att%		10	10	dmg%		120	120	dmg-fire		12	32	res-all		15	15	str		6	6	dex		6	6	block2		30	30	0
Runeword98	Peace	1		tors									ShaelThulAmn	r13	r10	r11				gethit-skill	Slow Movement	8	12	ama		2	2	oskill	Critical Strike	2	2	extra-valk		1	1													0
Runeword100	Penitence																																															0
Runeword101	Peril																																															0
Runeword102	Pestilence																																															0
Runeword103	Phoenix	1		shld									VexVexLoJah	r26	r26	r28	r31			dmg%		300	300	ac-miss		400	400	hit-skill	Firestorm	20	40	levelup-skill	Blaze	100	40	pierce-fire		28	28	aura	Redemption	15	15					0
Runeword104	Piety																																															0
Runeword105	Pillar of Faith																																															0
Runeword106	Plague	1		weap									ChamFalUm	r32	r19	r22				dmg-demon		380	380	gethit-skill	LowRes Proc	30	35	hit-skill	Poison Nova	25	35	plague-fcr-pierce		20	20	deadly/lvl	3			aura	Cleansing	17	17	allskills		2	2	0
Runeword107	Praise																																															0
Runeword108	Prayer																																															0
Runeword109	Pride	1		pole	spea	staf							ChamSurIoLo	r32	r29	r16	r28			dmg%/lvl	32			dmg-ltng		50	280	att%		300	300	aura	Concentration	20	20	gethit-skill	Fire Wall	25	40	regen		8	8	gold%/lvl	15			0
Runeword110	Principle	1		tors									RalGulEld	r08	r25	r02				hit-skill	Holy Bolt	50	25	pal		2	2	hp		100	100	dmg-undead		80	80	dmg-demon		80	80									0
Runeword111	Prowess in Battle																																															0
Runeword112	Prudence	1		tors										r23	r03					ac%		170	170	red-mag		10	10	red-dmg		13	13	res-all		35	35	balance2		25	25	rep-dur	25			cast2		30	30	0
Runeword113	Punishment																																															0
Runeword114	Purity																																															0
Runeword115	Question																																															0
Runeword117	Rain	1		tors									OrtMalIth	r09	r23	r06				hit-skill	Twister	20	25	gethit-skill	Cyclone Armor	8	15	dru		2	2	mana		150	150													0
Runeword118	Reason																																															0
Runeword119	Red																																															0
Runeword121	Rift	1		pole	scep	spea	swor						HelKoLemGul	r15	r18	r20	r25			dmg-mag		160	250	dmg-fire		60	180	dmg-to-mana		38	38	hit-skill	Tornado	20	30	att-skill	Frozen Orb	20	25	swing2		60	60	all-stats		20	20	0
Runeword76	The Lovers																																															0
Runeword143	Thirst																																															0
Runeword68	Thirst for Knowledge																																															0
Runeword144	Thought																																															0
Runeword145	Thunder																																															0
Runeword146	Time																																															0
Runeword147	Tradition																																															0
Runeword148	Treachery	1		tors									ShaelThulLem	r13	r10	r20				hit-skill	Venom	25	15	gethit-skill	Mind Blast	15	21	ass		2	2	swing2		45	45													0
Runeword149	Trust																																															0
Runeword150	Truth																																															0
Runeword151	Unbending Will	1		swor									FalIoIthEldElHel	r19	r16	r06	r02	r01	r15	hit-skill	Taunt	8	18	skilltab	12	3	3	swing2		30	30	dmg%		350	350	lifesteal		10	10	red-dmg		8	8	noheal		1	1	0
Runeword152	Valor																																															0
Runeword153	Vengeance			weap										r06	r11	r01																																0
Runeword155	Victory																																															0
Runeword156	Voice			helm										r03	r06																																	0
Runeword157	Void																																															0
Runeword158	War																																															0
Runeword159	Water																																															0
Runeword161	Whisper																																															0
Runeword47	Widowmaker	1		swor	axe								EthTirLoMalRal	r05	r03	r28	r23	r08		dmg-dem/lvl	15			dmg-min		280	280	dmg-max		360	360	swing3		40	40	hit-skill	Venom	35	15	pierce-pois		20	20	heal-kill		15	15	0
Runeword163	Wind	1		mele						staf			SurEl	r29	r01					dmg%		380	380	swing2		40	40	move2		30	30	reduce-ac		50	50	hit-skill	245	18	35	hit-skill	240	18	35	gethit-skill	Cyclone Armor	5	9	0
Runeword164	Wings of Hope																																															0
Runeword99	Winter	1		swor	mace	miss							LemKoElEld	r20	r18	r01	r02			dmg-demon		300	300	dmg-undead		250	250	dmg-cold		200	320	pierce-cold		24	24	hit-skill	Ice Blast	18	20	hit-skill	Frozen Orb	15	16	nofreeze		1	1	0
Runeword165	Wisdom	1		helm									PulIthEld	r21	r06	r02				pierce		33	33	att%		25	25	manasteal		8	8	enr		10	10	nofreeze		1	1	mana-kill		5	5					0
Runeword166	Woe			weap	miss																																											0
Runeword167	Wonder			wand										r04	r12	r24																																0
Runeword168	Wrath	1		miss									PulLumBerMal	r21	r17	r30	r23			dmg-demon		300	300	dmg-undead		300	300	dmg-ltng		41	240	dmg-mag		85	120	swing3		45	45	hit-skill	AmpDmg Proc	60	31	nofreeze		1	1	0
Runeword169	Youth																																															0
Runeword26	Doomsayer	1		staf									HelOhmUmLoCham	r15	r27	r22	r28	r32		dmg%		330	330	aura	Holy Freeze	12	12	swing2		45	45	cast3		30	30	pierce-cold		50	50	allskills		2	2	cast-skill	Molten Boulder	10	28	0
Runeword60	Infinity	1		staf									BerMalBerIst	r30	r23	r30	r24			dmg%		325	325	infinityspeed		35	35	vit/lvl	4			aura	Conviction	12	12	cast-skill	Lightning	15	20	pierce-ltng		55	55	cast-skill	Cyclone Armor	2	15	0
Runeword130	Spirit	1		staf									TalThulOrtAmn	r07	r10	r09	r11			balance3		55	55	mana		82	82	ease		-15	-15	vit		22	22	cast3		35	35	abs-mag		8	8	allskills		2	2	0
Runeword103	Phoenix	1		weap						staf			VexVexLoJah	r26	r26	r28	r31			dmg%		450	450	ac-miss		400	400	hit-skill	Firestorm	20	40	levelup-skill	Blaze	100	40	pierce-fire		28	28	aura	Redemption	15	15	abs-fire		21	21	0
Runeword17	Crescent Moon	1		pole	spea								ShaelUmTir	r13	r22	r03				pierce-ltng		15	15	ignore-ac		1	1	dmg%		220	220	abs-mag		5	5	charged	Summon Spirit Wolf	30	18	hit-skill	Static Field	24	13	hit-skill	Lightning	10	27	0
Ferocity	Ferocity	1		helm									ZodChamShael	r33	r32	r13				hit-skill	Taunt	12	10	lifesteal		12	12	oskill	Zeal	14	14	ac%		200	200	red-mag		12	12	Thorns		250	250					0
Runeword171	Dominion	1		wand									ChamOhm	r32	r27					skill	Golem Mastery	3	3	cast2		25	25	red-dmg		7	7	res-cold		30	30	nec		2	2	ac		450	450	extra-golem		1	1	0
Zenith	Zenith	1		miss	spea	pole	staf						JahZodOrtThulRal	r31	r33	r09	r10	r08		dmg%		300	300	aura	Salvation	12	12	swing2		20	20	move2		20	20	allskills		2	2	dmg-elem	100	300	350					0
Rampage	Rampage	1		staf	spea	pole							ShaelElIthEth	r13	r01	r06	r05			dmg%		135	135	swing2		45	45	res-fire		25	25	balance2		20	20													
Neophyte	Neophyte	1		scep	club	sorc	h2h	h2h2					ThulTir	r10	r03					half-freeze		1	1	red-dmg		4	4	cast2		30	30	res-pois-len		25	25													
Neophyte2	Neophyte	1		staf									ThulTir	r10	r03					half-freeze		1	1	red-dmg		6	6	cast2		40	40	res-pois-len		25	25													
Wind Staff	Wind	1		staf									SurEl	r29	r01					dmg%		380	380	swing2		40	40	move2		30	30	reduce-ac		50	50	cast-skill	245	18	35	cast-skill	240	18	35	cast-skill	Cyclone Armor	5	9	0
Phoenix Staff	Phoenix	1		staf									VexVexLoJah	r26	r26	r28	r31			dmg%		450	450	ac-miss		400	400	cast-skill	Firestorm	20	40	levelup-skill	Blaze	100	40	pierce-fire		28	28	aura	Redemption	15	15	abs-fire		21	21	0
Shattered Wall	Shattered Wall	1		pala									ZodJahRalCham	r33	r31	r08	r32			ac%		200	200	aura	Holy Freeze	16	16	block2		60	60	mana-kill		5	5	dmg-cold	50	200	250	hp		100	100					0
Asylum	Asylum	1		hamm	pole	spea	miss	2hsw					GulChamTirJahDolUm	r25	r32	r15	r31	r14	r22	dmg%		315	315	dex		20	20	allskills		2	2	openwounds		20	20	aura	Sanctuary	20	20	gold%		100	100	hit-skill	121	25	40	0
Asylum Staff	Asylum	1		staf									GulChamHelJahDolUm	r25	r32	r15	r31	r14	r22	dmg%		315	315	dex		20	20	allskills		2	2	openwounds		20	20	aura	Sanctuary	20	20	gold%		100	100	cast-skill	121	25	40	0
Revenge	Revenge			sc9									LoHelZodAmn	r28	r15	r33	r11			dmg%		300	300	red-dmg		18	18	swing2		60	60	skill	68	8	8	balance2		60	60	poisskill		4	4	dmg-pois	50	28672	28672	0
Runeword41	Fortitude	1		weap									ElSolDolLo	r01	r12	r14	r28			ac%		200	200	dmg%		350	350	cast3		25	25	dmg-to-mana		12	12	hp/lvl		12	12	res-all		30	30					0
Runeword25	Destruction	1		staf									VexLoBerJahKo	r26	r28	r30	r31	r18		dmg%		300	300	swing2		40	40	cast-skill	Molten Boulder	8	35	cast-skill	Meteor	15	45	cast-skill	Nova	15	40	cast-skill	Frost Nova	20	35					0
Hustle	Hustle	1		tors									ShaelKoEld	r13	r18	r02				equipped-skill	Quickness SelfAura	6	6	swing2		20	20	stamdrain		35	35	res-all		10	10	half-freeze		1	1									0
