skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Cold Arrow	11	ama	cold arrow	4	8												coldarrow																																																																										11	17					coldarrow												1	4	1	rng		miss										A1	A1	xx				1																						6	20					Magic Arrow								1		1				0	5	12	1	1										2 + (lvl / par2)										4	extra arrows level									22	damage synergy ice aro	22	damage synergy	1	10	10						8	32														cold	14	4	10	30	60	90	20	8	12	32	64	96	(skill('Ice Arrow'.blvl))*par7 +(skill('Magic Arrow'.blvl)) * par8	100							384	10000
Multiple Shot	12	ama	multiple shot	4	8												multipleshotarrow	multipleshotbolt																																																																									11	17					multipleshotarrow	multipleshotbolt											1	7	1	rng		miss										A1	A1	xx				1													1									6	20					Magic Arrow								1		1				1	5	12	1	1										"min(24,ln12)"	# missiles	par3	activation frame	2	triggered			3	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.			5	base dmg%	5	dmg% per level			8	damage synergy	1	8	6						8	128	1	0	1	2	3	4	2	0	1	2	3	4																							384	10000
Dodge	13	ama	dodge																																											dodge		passive_dodge	dm12	passive_avoid	dm34	item_fastergethitrate	4 + blvl																								amazon_dodge_1																																1	0		h2h												NU	NU	xx																										18	20					Evade	Slow Movement							1						0	8	0	0	1						1												1	min % dodge	40	max % dodge	1	min % avoid	45	max % avoid									1								8																																				640	40000
Power Strike	14	ama	power strike	10	14												powerstrikenova1	powerstrikenova1	powerstrikenova1						20																																																																			22					powerstrikenova1	powerstrikenova1	powerstrikenova1										1	4		h2h		spea										A1	A1	xx				1		1	1								1											6	20					Jab								1						1	4	32	3	1										1000	radius	0	hits																			20	damage synergy	1	20	12						8	128														ltng	1	0	0	0	0	0	1	3	5	13	22	31	(skill('Lightning Bolt'.blvl) + skill('Lightning Strike'.blvl)) * par8								384	10000
Poison Javelin	15	ama	poison javelin	4										poisonjav																																																															amazon_cast_poison		1												11					poisonjav													1	2	1	rng		jave										TH	TH	xx				1																						1	20													1						1	6	6	1	1																																24	damage synergy	1									128														pois	22	24	72	144	288	576	54	25	75	150	300	600	(skill('Plague Javelin'.blvl) * par8) + (skill('Javelin and Spear Mastery'.blvl)) * par8	25	0	0	0				256	5000
Exploding Arrow	16	ama	exploding arrow	4										explodingarrow											par1+(blvl / 4)																																																																		11					explodingarrow													1	5		rng		miss										A1	A1	xx				1																						18	20					Fire Arrow								1		1				1	6	16	1	1										par1+(blvl / 4)								3	radius											18	damage synergy2	18	damage synergy	1	20	10						8	128														fire	2	5	8	14	23	35	6	6	9	15	24	36	(skill('Immolation Arrow'.blvl)) * par8 + (skill('Magic Arrow'.blvl))*par7								640	40000
Slow Movement	17	ama	slow movement		6																50563		slowmissiles	ln34	ln56	skill_handofathena	"max(ln12,25)"	velocitypercent	-"min(ln78,65)"																																																amazon_handofathena											cast_slowmissiles																					1	8		none												SC	SC	xx					4												1						amazon_handofathena	cast_slowmissiles		12	20					Inner Sight														1	7	10	0	1																		75	% velocity for missiles	-1	% velocity per level	125	duration	0	duration per level	18	radius of effect	0	radius per level	20	slow percent	1	slow percent per level	1								8															mag																					512	20000
Avoid	18	ama	avoid																																											avoid		passive_avoid	0																												amazon_dodge_1																																1	0		h2h												NU	NU	xx																										12	20					Dodge								1						0	8	0	0	1						1												15	min % avoid	75	max % avoid													1								8																																				512	20000
Javelin and Spear Mastery	19	ama	jav mastery																																											javmastery	spea	passive_mastery_melee_dmg	ln12	passive_mastery_melee_crit	dm56	passive_mastery_throw_dmg	ln12	passive_mastery_throw_crit	dm56																																																						1	0		none		spea										SC	SC	xx				1																						6	20					Jab														0	8	0	0	1		1				1												35	Damage % base	10	damage % per level					0	critical%	35	critical%					1								8																																				384	10000
Lightning Bolt	20	ama	lightning bolt	4										lightningjavelin																																																																													11					lightningjavelin													1	6	1	rng		jave										TH	TH	xx																										12	20					Poison Javelin	Power Strike							1						1	6	16	1	1																																14	damage synergy	1								8	96														ltng	1	0	0	0	0	0	40	12	26	54	82	110	(skill('Lightning Fury'.blvl) + skill('Power Strike'.blvl)) * par8								512	20000
Ice Arrow	21	ama	ice arrow	4										icearrow																																																																													11					icearrow													1	6	1	rng		miss										A1	A1	xx				1																						12	20					Cold Arrow								1		1				1	8	3	0	1																												20	damage synergy two	5	length synergy	14	damage synergy	1	20	10						8	128														cold	22	10	14	24	34	44	36	11	16	26	36	46	(skill('Cold Arrow'.blvl)+skill('Freezing Arrow'.blvl))*par8 + (skill('Magic Arrow'.blvl))*par6	25				(skill('Freezing Arrow'.blvl)+skill('Cold Arrow'.blvl)) * par7			512	20000
Guided Arrow	22	ama	guided arrow	4	10												guidedarrow	guidedarrow	guidedarrow																																																																								11	18					guidedarrow	guidedarrow	guidedarrow										1	4	1	rng		miss										A1	A1	xx				1																						18	20					Multiple Shot								1		1				1	6	32	-1	1										ln34	+ dmg%											0	Damage percent	4	damage % per level									1								8	64														mag																					640	40000
Penetrate	23	ama	penetrate																																											penetrate		item_tohit_percent	ln12	item_fractionaltargetac	par3 + blvl																																																										1	1		rng		spea	miss											xx																										24	20					Pierce								1						0	8	0	0	1						1												35	add % to hit with missiles base	10	add % to hit with missiles/level	5	base -def											1								8																																				768	60000
Charged Strike	24	ama	charged strike	6	11												chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																									19					chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		spea										A1	A1	xx				1		1	1								1											18	20					Power Strike								1						1	6	16	1	1										par1+lvl/par2	# bolts							2	Bolts to send out	5	Additional bolts per N levels									3	damage synergy2	5	damage synergy	1								8															ltng	1	0	0	0	0	0	40	12	16	20	24	28	(skill('Lightning Strike'.blvl)+skill('Power Strike'.blvl))*par8 + skill('Lightning Fury'.blvl)*par8								640	40000
Plague Javelin	25	ama	plague javelin	4										plaguejavelin																																																															amazon_cast_poison		1												11					plaguejavelin													1	3	1	rng		jave										TH	TH	xx				1																						18	20					Lightning Bolt							25	1				1		1	7	14	1	1																																12	damage synergy	1	50	10						3	128														pois	10	6	12	20	40	80	16	6	12	20	40	80	(skill('Poison Javelin'.blvl) * par8) + (skill('Javelin and Spear Mastery'.blvl) * (par8))	75							640	40000
Strafe	26	ama	strafe	8	12												strafearrow	strafebolt							par5																																																				amazon_dodge_1					paladin_charge									13	20					multipleshotarrow	multipleshotbolt											1	0	1	rng		miss										A1	A1	xx				1																						24	20					Guided Arrow								1		1				1	8	11	0											"min(par3 + lvl - 1, par4)"	#missiles	ln12	damage %	2+lvl/4	min # missiles			100	Damage increase	14	Damage increase per level	2	Base Shots to take (+1 per level)	5	Max shots to take	28	Radius	50	% frame rollback			12	damage synergy	1	80	6						8	128																																			768	60000
Immolation Arrow	27	ama	immolation arrow	4										immolationarrow																																																																													11					immolationarrow													1	6	1	rng		miss										A1	A1	xx				1																						30	20					Exploding Arrow								1		1				1	7	12	1	1										par1	fire disc radius	par2	damage radius					3	Fire disc radius	4	Radial Damage Radius											8	damage synergy	1	30	9						8	128														fire	12	12	23	34	36	38	23	12	23	34	36	38	(skill('Exploding Arrow'.blvl)+skill('Fire Arrow'.blvl)) * par8								896	80000
Dopplezon	28	ama	dopplezonnew		49																	dopplezonnew		375		fireresist	"min(lvl*par3,85)"	lightresist	"min(lvl*par3,85)"	coldresist	"min(lvl*par3,85)"	poisonresist	"min(lvl*par3,85)"																	tohit	200 + lvl*par2									dopplezonnew	dopplezonnew	1 + blvl / 10	NU	DoppleZonStrafe	lvl												amazon_valkyrie_cast																																1	8		none												SC	SC	xx				1	4																					18	20					Slow Movement														1	7	20	1	1																		15	Pluse % HP per level	50	plus to hit per level	5	Min % resist all	90	Max % resist all	24	base item quality level	3	item quality per level			8	damage synergy	1								8		35	4	6	9	12	15	50	6	8	11	14	17	(skill('Strafe'.blvl)+skill('Valkyrie'.blvl))*par8																						896	80000
Evade	29	ama	evade																																											evade		passive_evade	dm12	velocitypercent	"min(9+lvl, 45)"																										amazon_dodge_1																																1	0		h2h												NU	NU	xx																										6	20													1						0	8	0	0	1						1												1	min % evade	40	max % evade													1								8																																				640	40000
Fend	30	ama	fend	9	13																																																																									amazon_jab_1	1												14	21																	1	0		h2h		spea										A1	A1	xx						1	1								1											18	20					Javelin and Spear Mastery								1						1	8	5	0											3	max targets	ln34 + (skill('Jab'.blvl) * par8)	damage %					0	additional target/level	60	% frame rollback	100	% damage percent	20	damage % per level							12	damage synergy	1	80	6						8	128																																			640	40000
Freezing Arrow	31	ama	freezing arrow	4										freezingarrow											par1+(blvl / 4)																																																																		11					freezingarrow													1	7	1	rng		miss										A1	A1	xx				1																						30	20					Ice Arrow								1		1				1	6	18	1	1										par1+(blvl / 4)	damage radius							4	Radius of impact									6	damage synergy2	0	length synergy	6	damage synergy	1	40	10						8	128														cold	35	10	15	20	25	30	55	10	15	20	25	28	(skill('Ice Arrow'.blvl))*par8 + skill('Cold Arrow'.blvl)*par6	12							896	80000
Valkyrie	32	ama	valkyrie		16																					strength	lvl * par2 + 20 * skill('Dopplezon'.blvl)	dexterity	lvl * par4	fireresist	"min(lvl*par7,20)"	lightresist	"min(lvl*par7,20)"	coldresist	"min(lvl*par7,20)"	poisonresist	"min(lvl*par7,20)"											item_armor_percent	par3 * (lvl - 1)	tohit	toht	passive_ltng_pierce	skill('Pierce'.blvl)							valkyrie	valkyrie	1+((lvl<20)?0:1)+((lvl<30)?0:1) + stat('extra_valk'.accr)	NU	Valk Power Strike	1+(lvl/2)	Lightning Bolt	skill('Power Strike'.blvl)										amazon_valkyrie_cast																																1	6		none												SC	SC	xx					4												1									30	20					Dopplezon							"max(112 - blvl * 5, 0)"							1	8	25	1	1	1									par1 * (lvl - 1) + skill('Dopplezon'.blvl) * par8	bonus hp%	ln56	itemlevel					7	% hitpoints more per level	20	str per level	5	% AC increase per level	12	dex per level	25	Magic Item level	3	Magic Item level per level	3	resistances	0	hp synergy	1			40*lvl+40*skill('Penetrate'.blvl)					8															mag																					896	80000
Pierce	33	ama	pierce																																											pierce		skill_pierce	dm12																																																												1	0		rng		miss												xx																										12	20					Critical Strike								1						0	8	0	0	1	1					1												10	min % chance	100	max % chance													1								8																																				768	60000
Lightning Strike	34	ama	lightning strike	10	14												lightningstrike	lightningstrike	lightningstrike						par1																																																																			22					lightningstrike	lightningstrike	lightningstrike										1	8		h2h		spea										A1	A1	xx				1		1	1								1											30	20					Charged Strike								1						1	6	24	1	1										20	radius	"min(ln34,12)"	hits					20	radius of jump to next target			4	Target hits	1	Target hits per level							12	damage synergy	1								8															ltng	1	0	0	0	0	0	25	10	20	35	55	75	(skill('Charged Strike'.blvl)+skill('Power Strike'.blvl)) * par8								896	80000
Lightning Fury	35	ama	lightning fury	4										lightningfury							42371				par3																																																																		11					lightningfury													1	8	1	rng		jave										TH	TH	xx																										30	20					Plague Javelin								1						1	6	20	1	1										10 + (blvl / 5)	num targets							10	lightning spells from target	0	extra spells/level	15	Target search radius							2	damage synergy2	2	damage synergy	1								8	128														ltng	1	0	0	0	0	0	65	8	9	10	11	12	(skill('Lightning bolt'.blvl)) * par8 + (skill('Power Strike'.blvl)) * par8								896	80000
Fire Bolt	36	sor	fire bolt											firebolt																																																															sorceress_cast_fire											fire_cast_1								firebolt													1	2		none												SC	SC	xx																	1						sorceress_cast_fire			1	20													1						1	7	5	0	1																																20	damage synergy	1								7															fire	6	5	10	20	40	30	12	6	15	37	55	37	(skill('Fire Ball'.blvl)+skill('Combustion'.blvl))*par8								256	5000
Warmth	37	sor	warmth																																											warmth		manarecoverybonus	ln12	item_tohit_percent	toht																																																										1	0		none												SC	SC	xx																										1	20													1						0	8	0	0	1	1					1												30	increase in mana recovery	12	additional increase/level													1	20	10						8															fire																					256	5000
Charged Bolt	38	sor	charged bolt		17												chargedbolt	chargedbolt	chargedbolt																																																										sorceress_cast_lightning											light_cast_1				23					chargedbolt												1	1		none												SC	SC	xx																	1						sorceress_cast_lightning			1	20													1						1	5	24	4	1										"min(28,ln12)"	# bolts							3	Bolts to send out	1	Additional bolts per level											6	damage synergy	1								7															ltng	4	1	1	2	3	4	8	1	1	2	3	4	(skill('Lightning'.blvl) + skill('Telekinesis'.blvl))*par8								256	5000
Ice Bolt	39	sor	ice bolt											icebolt																																																															sorceress_cast_cold											ice_cast_1								icebolt													1	5		none												SC	SC	xx																	1						sorceress_cast_cold			1	20													1						1	6	8	1	1																																20	damage synergy	1								7															cold	6	4	9	18	36	54	10	6	14	35	52	69	(skill('Ice Blast'.blvl)+skill('Glacial Spike'.blvl))*par8	150	10	10	10				256	5000
Cold Enchant	40	sor	cold enchant		25																73731	coldenchant	coldenchant	ln12	8	coldmindam	edmn	coldmaxdam	edmx	coldlength	25	item_tohit_percent	toht																																												sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3																					1	4		none												SC	SC	xx																	1			1			sorceress_enchant			1	20																			1	8	25	1	1																		3600	duration	600	duration per level	33	missile pct	8	range							22	damage synergy	1	20	5						7															cold	6	3	9	18	35	52	8	5	11	20	37	54	(skill('Chilling Armor'.blvl))*par8								256	5000
Inferno	41	sor	inferno	11	19												infernoflame1	infernoflame1	infernoflame1						ln12/4-2																																																																		15	24					infernoflame1	infernoflame2											1	7		rng												SQ	SQ	xx	6	10																								1	20													1	1				4	0	3	4	1	1										ln12/2	range	20	frames if monster					12	base ranged (doubled)	3	level range (doubled)	4	Min Mana to start casting									20	damage synergy	1								2															fire	20	23	46	92	138	138	34	24	48	96	144	144	(skill('Fire Wall'.blvl)+skill('Blaze'.blvl))*par8								256	5000
Static Field	42	sor	static field		160																34691		staticfield_debuff	125 + (5 * skill('Lightning Mastery'.blvl))	"min(ln12 / 2, 14)"	lightresist	"-min((par5+(lvl<22)?lvl:(22+((lvl-22)/2))), 40)"																																																		sorceress_cast_lightning											light_cast_1																					1	10		none												SC	SC	xx					4												1						sorceress_cast_lightning			1	20													1						1	8	9	0	1										par4	damage %	par3	min damage					8	Base radius of effect.	1	Level radius bonus.	0	Minimum Damage.	25	Percent Damage.	1	base -lite res							1								8															ltng																					256	5000
Telekinesis	43	sor	telekinesis	12	21																				par1																																																				sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																					1	10		none												SC	SC	xx														1									sorceress_telekinesis			1	20													1						1	8	7	0	1	1																	25	On-screen cast range.	35	Chance to knockback/stun.											14	damage synergy	1				5	2	109		8															ltng	1	0	0	0	0	0	7	3	6	12	12	12	(skill('Charged Bolt'.blvl)+skill('Nova'.blvl))*par8								256	5000
Frost Nova	44	sor	frost nova		22												frostnova	frostnova	frostnova																																																										sorceress_cast_cold											ice_cast_2				25					frostnova												1	6		none												SC	SC	SC																	36	10					sorceress_cast_cold			6	20													1						1	7	18	1	1																		9	radius of freeze	3	additional radius/level											9	damage synergy	1								7															cold	3	4	14	24	34	44	8	5	15	25	35	45	(skill('Ice Bolt'.blvl)+skill('Shiver Armor'.blvl))*par8	200	5	5	5				384	10000
Ice Blast	45	sor	ice blast											iceblast																																																															sorceress_cast_cold											ice_cast_1								iceblast													1	6		none												SC	SC	xx																	1						sorceress_cast_cold			6	20					Ice Bolt								1						1	7	12	1	1																		50	Duration of freeze	0	additional duration/level									0	freeze synergy	6	damage synergy	1								7															cold	10	12	24	42	56	70	16	14	28	43	57	71	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl))*par8	50	0	0	0				384	10000
Blaze	46	sor	blaze		23									blaze2ignite			blaze2trail				73731	blaze		"min(ln12, 75)"																								velocitypercent	dm34																												sorceress_cast_fire											fire_cast_2								blaze2ignite	blaze2trail	blaze2dotfiresmall	blaze2dotfiremedium										1	3		none												SC	SC	xx																	1									6	20					Inferno														1	7	22	1	1																		75	Min Frames	0	frames per level	30	min % speed increase	50	max % speed increase					3	firewall damage synergy	3	warmth damage synergy	1								2															fire	1	1	1	5	8	8	2	1	2	6	9	9	(skill('Warmth'.blvl)+skill('Fire Wall'.blvl))*par8	11	11	11	11	11	11	11	11	11
Fire Ball	47	sor	fire ball											fireball											4 + blvl / 5																																																				sorceress_cast_fire											fire_cast_2								fireball													1	5		none												SC	SC	xx																	1						sorceress_cast_fire			12	20					Fire Bolt								1						1	7	10	1	1																																16	damage synergy	1								7															fire	12	13	23	28	33	33	28	15	25	30	35	35	(skill('Fire Bolt'.blvl)+skill('Combustion'.blvl))*par8								512	20000
Nova	48	sor	nova		22												nova	nova	nova																																																										sorceress_cast_lightning											light_cast_1				25					nova												1	2		none												SC	SC	xx																	36	10					sorceress_cast_lightning			12	20					Charged Bolt								1						1	7	16	1	1																		12	number of missiles	4	additional missiles per level											3	damage synergy	1								8															ltng	1	6	8	9	10	11	22	8	10	12	13	14	(skill('Charged Bolt'.blvl)+skill('Telekinesis'.blvl))*par8								512	20000
Lightning	49	sor	lightning											lightningbolt																																																															sorceress_cast_lightning											light_cast_1								lightningbolt													1	6		none												SC	SC	xx	12			1													1						sorceress_cast_lightning			12	20					Charged Bolt								1						1	6	16	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									6	damage synergy	1								8															ltng	1	0	0	0	0	0	30	10	13	16	19	22	(skill('Chain Lightning'.blvl)+skill('Charged Bolt'.blvl))*par8								512	20000
Shiver Armor	50	sor	shiver armor		18																	shiverarmor		ln34+(skill('Shiver Armor'.blvl))		skill_armor_percent	ln12											attackedinmelee	3																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit								sparkle				10	sparkle delay	5	sparkle radius	3	sparkle height			1	0		none												SC	SC	xx																							sorceress_cast_cold	ice_cast_3		12	20					Ice Blast	Cold Enchant													1	8	11	0	1	1																	45	% AC base	6	% AC per level	4500	Duration	75	duration per level					0	duration synergy	20	damage synergy	1								7															cold	16	5	8	11	14	17	20	6	9	12	15	18	skill('Cold Enchant'.blvl)*par8	100	5	5	5				512	20000
Fire Wall	51	sor	fire wall		24												firewallmaker	firewall																																																											sorceress_cast_fire											fire_cast_2				26					firewallmaker												1	4		none												SC	SC	SC					4				1								1						sorceress_cast_fire			12	20					Blaze							38							1	8	22	1	1																														4	damage synergy	4	damage synergy	1								4															fire	15	7	9	11	13	15	20	7	9	11	13	15	(skill('Warmth'.blvl)*par8+skill('Inferno'.blvl)*par8								512	20000
