skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
charged strike	3	4	2	3	0	36	skillname24	skillsd24	skillld24	skillan24	StrSkill3	17																1					10					9					3	StrSkill72	StrSkill73	par1 + lvl/par2																																40	Sksyn	skillname24	2		63	skillname14	Ltngdplev	par8		63	skillname34	Ltngdplev	par8		63	skillname35	Ltngdplev	par8																	0
plague javelin	3	4	3	3	0	38	skillname25	skillsd25	skillld25	skillan25	StrSkill3	22												1				1					14					2	StrSkill22	StrSkill23	toht																																					40	Sksyn	skillname25	2		63	skillname15	Poisdplev	par8		63	skillname19	Poisdplev	par8 / 2																						0
strafe	1	5	2	1	0	40	skillname26	skillsd26	skillld26	skillan26	StrSkill3	7	ln12 + (skill('Penetrate'.blvl) * par8)											1				1					2	StrSkill4	StrSkill23	ln12 + (skill('Penetrate'.blvl) * par8)		3	StrSkill86	StrSkill87	"min(lvl+par3,par4)"		8																																			40	Sksyn	skillname26	2		63	skillname23	Damplev	par8																											0
immolation arrow	1	6	3	1	0	42	skillname27	skillsd27	skillxld27	skillan27	StrSkill3	6												1	immolationarrow fire			1					22					23	StrSkill82				24	StrSkill83				2	StrSkill22	StrSkill23	toht																											40	Sksyn	skillname27	2		63	skillname6	AFDImm	16		63	skillname16	Firedplev	par8		63	skillname7	Firedplev	par8																	0
dopplezonnew	2	4	1	2	0	44	DopplezonNew	DopplezonNewSD	DopplezonNewLD	skillan28	StrSkill3																	1					12	StrSkill20		len		5	StrSkill22		(200 + lvl*par2) * (100 + skill('Penetrate'.ln12)) / 100		13			(lvl-1)*par1		10					9					18	StrExtraDecoy																			40	Sksyn	skillname28	2		63	skillname26	Damplev	par8		63	skillname32	Damplev	par8		25	skillname9				25	skillname33				25	skillname23				63					0
evade	2	2	2	2	0	46	skillname29	skillsd29	skillld29	skillan29	StrSkill3																	6	StrPercentMoveSpeed		min(13 + lvl*par3, 65)		7	StrSkill24		dm12																																																																													0
fend	3	4	1	3	0	48	skillname30	skillsd30	skillld30	skillan30	StrSkill3	7	clc2											1				1					2	StrSkill4	StrSkill23	ln34 + (skill('Jab'.blvl) * par8)		2	StrSkill30	StrSkill23	toht																																					40	Sksyn	skillname30	2		63	skillname10	Damplev	par8																											0
freezing arrow	1	6	1	1	0	50	skillname31	skillsd31	skillxld31	skillan31	StrSkill3	6												1				1					12	StrSkill62		edln		10					2	StrSkill22	StrSkill23	toht												19	StrSkill18		par1+(blvl / 4)																	40	Sksyn	skillname31	2		63	skillname11	Colddplev	par6		63	skillname21	Colddplev	par8		63	skillname21	FrezLenplev	par7																	0
valkyrie	2	6	1	2	0	52	skillname32	skillsd32	skillld32	skillan32	StrSkill3																	1					2	StrSkill31	StrSkill23	(lvl-1)*par3		4	StrSkill22		toht		5	StrPowerStrikeLevel		5+(lvl/2)		2	StrSkill4	StrSkill23	par2*(lvl-1) + 20*skill('Dopplezon'.blvl)		13			par1 * (lvl - 1) + skill('Dopplezon'.blvl) * par8		18	StrExtraValk																			40	Sksyn	skillname32	2		63	skillname28	Hpplev	par8		63	skillname28	Physdplev	25		63	skillname33	Ltngprcplev	skill('Pierce'.blvl)*2		67	skillname23	AttRateplev	40		25	StrValkPowerStrikeSyn				25	skillname9				0
pierce	2	3	3	2	0	54	skillname33	skillsd33	skillld33	skillan33	StrSkill3																	7	StrSkill24		dm12																																																																																		0
lightning strike	3	6	2	3	0	56	skillname34	skillsd34	skillld34	skillan34	StrSkill3	17																1					10					7	StrSkill11		"min(ln34,12)"																																					40	Sksyn	skillname34	2		63	skillname14	Ltngdplev	par8		63	skillname24	Ltngdplev	par8																						0
lightning fury	3	6	3	3	0	58	skillname35	skillsd35	skillld35	skillan35	StrSkill3	22																1					10					3	StrSkill72	StrSkill27	10 + (blvl / 5)																	18	StrLightFuryBolts																			40	Sksyn	skillname35	2		63	skillname14	Ltngdplev	par8		63	skillname20	Ltngdplev	par8																						0
fire bolt	1	1	2	1	0	0	skillname36	skillsd36	skillld36	skillan36	StrSkill3	5																11					10					9					8															1																				40	Sksyn	skillname36	2		63	skillname47	Firedplev	par8		63	Combustion	Firedplev	par8																						0
warmth	1	1	3	1	0	2	skillname37	skillsd37	skillld37	skillan37	StrSkill3																	6	StrAttackRating		toht		7	StrSkill23		ln12																																																																													0
charged bolt	2	1	2	2	0	4	skillname38	skillsd38	skillld38	skillan38	StrSkill3	5																1					7	StrSkill27		"min(28,ln12)"		10																																								40	Sksyn	skillname38	2		63	skillname43	Ltngdplev	par8		63	skillname49	Ltngdplev	par8																						0
ice bolt	3	1	2	3	0	6	skillname39	skillsd39	skillld39	skillan39	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname39	2		63	skillname45	Colddplev	par8		63	skillname55	Colddplev	par8																						0
frozen armor	3	1	3	3	0	8	skillname40	skillsd40	skillld40	skillan40	StrSkill3																	1					12	StrSkill62		ln56*(100+((skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8))/100		12	StrSkill20		ln34+(skill('Chilling Armor'.blvl))*par7		3	StrSkill31	StrSkill23	ln12																																40	Sksyn	skillname40	2		67	skillname50	Secplev2	(par7 + 12)/25		63	skillname50	FrezLenplev	par8		67	skillname60	Secplev2	(par7 + 12)/25		63	skillname60	FrezLenplev	par8												0
inferno	1	1	1	1	0	10	skillname41	skillsd41	skillld41	skillan41	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		ln12/4		11					26															5	StrSkill115		par3																	40	Sksyn	skillname41	2		63	skillname46	Firedplev	par8		63	skillname51	Firedplev	par8																						0
static field	2	1	1	2	0	12	skillname42	skillsd42	skillxld42	skillan42	StrSkill3																	1					19	StrSkill18		"min(ln12 / 2, 14)"		3	StrEnemyLtngRes	StrSkill23	-(par5+((lvl<22)?lvl:(22+(lvl-22)/2))		12	StrSkill20		125 + (5 * skill('Lightning Mastery'.blvl))												3	StrSkill33	StrSkill23	par4																	40	Sksyn	skillname42	2		42	skillname63	StrLtngMasterySynergy	0	2																										0
telekinesis	2	1	3	2	0	14	skillname43	skillsd43	skillld43	skillan43	StrSkill3	5																1					10																																													40	Sksyn	skillname43	2		63	skillname38	Ltngdplev	par8		63	skillname48	Ltngdplev	par8																						0
frost nova	3	2	1	3	0	16	skillname44	skillsd44	skillld44	skillan44	StrSkill3	5																1					11					10																																								40	Sksyn	skillname44	2		63	skillname39	Colddplev	par8		63	skillname50	Colddplev	par8																						0
ice blast	3	2	2	3	0	18	skillname45	skillsd45	skillld45	skillan45	StrSkill3	5																1					12	StrSkill62		edln		10																																								40	Sksyn	skillname45	2		63	skillname39	Colddplev	par8							63	skillname55	Colddplev	par8																	0
blaze	1	2	1	1	0	20	skillname46	skillsd46	skillld46	skillan46	StrSkill3	9													blaze2ignite			1					2	StrSkill70	StrSkill23	dm34		23	StrSkill82				27					35	StrSkill83		(100 * skill('Blaze'.enms)) / 675	((100 * skill('Blaze'.exms)) / 675)	12	StrSkill20		"min(ln12, 200)"																						40	Sksyn	skillname46	2		63	skillname51	Firedplev	par7																											0
fire ball	1	3	2	1	0	22	skillname47	skillsd47	skillld47	skillan47	StrSkill3	5													fireball			1					11					10					9					8																														40	Sksyn	skillname47	2		63	skillname36	Firedplev	par8		63	Combustion	Firedplev	par8																						0
nova	2	3	1	2	0	24	skillname48	skillsd48	skillld48	skillan48	StrSkill3	5																1					10																																													40	Sksyn	skillname48	2		63	skillname38	Ltngdplev	par8		63	skillname43	Ltngdplev	par8																						0
lightning	2	3	2	2	0	26	skillname49	skillsd49	skillld49	skillan49	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname49	2		63	skillname38	Ltngdplev	par8		63	skillname53	Ltngdplev	par8																						0
shiver armor	3	3	3	3	0	28	skillname50	skillsd50	skillld50	skillan50	StrSkill3	5																1					11					10					3	StrSkill31	StrSkill23	ln12		12	StrSkill20		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7																											40	Sksyn	skillname50	2		63	ColdEnchant	Colddplev	par8																											0
fire wall	1	3	1	1	0	30	skillname51	skillsd51	skillld51	skillan51	StrSkill3	9													firewallmaker			1					29					27					30	StrSkill82																																		40	Sksyn	skillname51	2		63	skillname46	Firedplev	par8																											0
enchant	1	4	3	1	0	32	skillname52	skillsd52	skillld52	skillan52	StrSkill3																	1					2	StrSkill30	StrSkill23	toht		10					12	StrSkill20		ln12																																40	Sksyn	skillname52	2		63	skillname37	Firedplev	par8																											0
chain lightning	2	5	2	2	0	34	skillname53	skillsd53	skillld53	skillan53	StrSkill3	5																1					10					7	StrSkill11		"min(ln34 / 5, 14)"																																					40	Sksyn	skillname53	2		63	skillname38	Ltngdplev	par8		63	skillname49	Ltngdplev	par8																						0
teleport	2	4	3	2	0	36	skillname54	skillsd54	skillld54	skillan54	StrSkill3																	1																														7	StrPercentDamage		-(par2-(blvl*2))																																																				0
glacial spike	3	4	2	3	0	38	skillname55	skillsd55	skillld55	skillan55	StrSkill3	5																1					12	StrSkill62		ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100		10																				19	StrSkill18		ln12																	40	Sksyn	skillname55	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname59	FrezLenplev	par7																	0
meteor	1	5	1	1	0	40	skillname56	skillsd56	skillld56	skillan56	StrSkill3	5													meteorfire			1					22					10					9																																			40	Sksyn	skillname56	2		63	skillname41	Damplev	par8		63	skillname46	Damplev	par8		63	skillname47	Damplev	par8																	0
thunder storm	2	5	1	2	0	42	skillname57	skillsd57	skillld57	skillan57	StrSkill3	5																1					10					12	StrSkill20		ln12		12	StrDelay		par3 - (blvl * 25 / 20)																																40	Sksyn	skillname57	2		63	skillname38	Ltngdplev	par8		63	skillname48	Ltngdplev	par8																						0
energy shield	2	6	3	2	0	44	skillname58	skillsd58	skillld58	skillan58	StrSkill3																	1					3	StrSkill40	StrSkill23	"min(edmn,85)"		12	StrSkill20		ln12																																					40	Sksyn	skillname58	2		18	skillname43																													0
blizzard	3	5	1	3	0	46	skillname59	skillsd59	skillld59	skillan59	StrSkill3	5													blizzardcenter			1					23	StrSkill20				10					19	StrSkill18		par1																																40	Sksyn	skillname59	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8																						0
chilling armor	3	5	3	3	0	48	skillname60	skillsd60	skillld60	skillan60	StrSkill3	5																1					10					12	StrSkill20		ln34+(skill('Shiver Armor'.blvl))*par7		3	StrSkill31	StrSkill23	ln12																																40	Sksyn	skillname60	2		63	ColdEnchant	Colddplev	par8																											0
fire mastery	1	6	2	1	0	50	skillsname61	skillsd61	skillld61	skillan61	StrSkill3																	2	StrFirePierce	StrSkill23	"min(lvl, 30)"		2	StrSkill5	StrSkill23	ln12																																																																													0
hydra	1	6	3	1	0	52	skillname62	skillsd62	skillld62	skillan62	StrSkill3	5																1					24	StrSkill113				12	StrSkill20		ln12																																					40	Sksyn	skillname62	2		63	skillname36	Firedplev	par8		63	LesserHydra	Firedplev	par8																						0
lightning mastery	2	6	2	2	0	54	skillname63	skillxsd63	skillxld63	skillan63	StrSkill3																	2	StrSkill7	StrSkill23	ln12																																																																																		0
frozen orb	3	6	1	3	0	56	skillname64	skillsd64	skillld64	skillan64	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname64	2		63	skillname39	Colddplev	par8		63	skillname44	Colddplev	par8																						0
cold mastery	3	6	2	3	0	58	skillname65	skillsd65	skillld65	skillan65	StrSkill3																	2	StrColdPierce	StrSkill23	"min(5+lvl, 45)"		2	StrSkill6	StrSkill23	ln34																																																																													0
amplify damage	1	1	2	1	0	0	skillname66	skillsd66	skillld66	skillan66	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		par1 + lvl / 3 + skill('CurMas'.blvl) / 3		2	StrPhysDmgResist	StrSkill23	-"min(par5 + par6*lvl + (skill('CurMas'.blvl)/2),60)"																																40	Sksyn	skillname66	2		63	CurseMastery	StrRedPhysDmgResplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
teeth	2	1	2	2	0	2	skillname67	skillsd67	skillld67	skillan67	StrSkill3	5																1					10					7	StrSkill28		"min(ln12,24)"																																					40	Sksyn	skillname67	2		63	skillname68	Magdplev	par8		63	skillname84	Magdplev	par8		63	skillname93	Magdplev	par8																	0
bone armor	2	2	3	2	0	4	skillname68	skillsd68	skillld68	skillan68	StrSkill3																	1					3	StrSkill40	StrSkill41	((stat('energy'.accr)*3) + edmx + ((skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl)) * par8))																																										40	Sksyn	skillname68	2		18	EnergyAbsorb				67	skillname78	Damabsplev	par8		67	skillname88	Damabsplev	par8																	0
skeleton mastery	3	1	1	3	0	6	skillname69	skillsd69	skillld69	skillan69	StrSkill3																	1					70	StrSkeleAllPhys	StrSkill4	lvl*par2		70	StrSkeleAll	StrSkill42	lvl*par1		32	StrSkeleAll	StrSkill70	"min(lvl, 40)"																																																																			0
raise skeleton	3	1	3	3	0	8	skillname70	skillsd70	skillld70	skillan70	StrSkill3																	1					36	StrSkill94	StrSkill44	"min((lvl < 4) ?lvl:(2+lvl/3), 8) + stat('extra_skele_war'.accr)"		13			(lvl < 4) ? 0 : (par2 * (lvl - 3))	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1)	5	StrSkill21		5+(lvl+skill('Skeleton Mastery'.lvl))*par5		5	StrSkill22		5+(lvl+skill('Skeleton Mastery'.lvl))*par4		2	StrSkill4	StrSkill23	((lvl < 4) ? 0 : ((lvl-3)*par3))		34																				40	Sksyn	skillname70	2		63	skillname69	Damplev	par8																											0
dim vision	1	2	3	1	0	10	skillname71	skillsd71	skillld71	skillan71	StrSkill3																	1					31	StrSkill20		ln34		19	StrSkill18		par1 + lvl / 3		6	StrAttackRating		-(ln56 + skill('CurMas'.blvl)*par8)																																40	Sksyn	skillname71	2		67	CurseMastery	StrRedARplev	par8																											0
weaken	1	4	2	1	0	12	skillname72	skillsd72	skillld72	skillan72	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		par1 + lvl / 3 + skill('CurMas'.blvl) / 3		3	StrSkill38	StrSkill23	-(ln56 + skill('CurMas'.blvl) / 2)		3	WeakenDef	StrSkill23	-"min(ln78, 60)"																											40	Sksyn	skillname72	2		63	CurseMastery	StrRedDmgplev	1		42	CurseMastery	StrIncRadiusplev	0	6																					0
poison dagger	2	1	1	2	0	14	skillname73	skillsd73	skillld73	skillan73	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		14					3	StrPierces	StrPercPoisRes	-"min(ln12, 30)"																																40	Sksyn	skillname73	2		63	Desecrate	Poisdplev	par8		63	skillname92	Poisdplev	par8																						0
corpse explosion	2	2	1	2	0	16	skillname74	skillsd74	skillld74	skillan74	StrSkill3	5																1					37	StrSkill18		((par3+lvl*par4)>30)?30:(par3+lvl*par4) + stat('corpseexplosionradius'.accr)		10					9															38	StrSkill4	StrSkill46	par1	par2	1															40	Sksyn	skillname74	2		63	skillname66	Damplev	par8		63	Desecrate	Damplev	par8		63	skillname95	Damplev	par8																	0
clay golem	3	2	2	3	0	18	skillname75	skillsd75	skillld75	skillan75	StrSkill3																	1					3	Cgslow	StrSkill23	dm34		4	StrSkill30		lvl*par8		39					13			par7*lvl + skill('Golem Mastery'.ln12) + skill('BloodGolem'.blvl)*skill('BloodGolem'.par8)							5	StrSkill21		100+skill('IronGolem'.lvl)*skill('IronGolem'.par8)		5	StrSkill22		40 + skill('Golem Mastery'.ln56) + (lvl*par8)												40	Sksyn	skillname75	2		63	skillname79	Damplev	par6		63	skillname85	Damplev	par6		63	skillname90	Damplev	par6		67	skillname90	Defplev	skill('IronGolem'.par8)		63	skillname94	Damplev	par6							0
iron maiden	1	3	1	1	0	20	skillname76	skillsd76	skillld76	skillan76	StrSkill3																	1					19	StrSkill18		par1 + lvl / 3 + skill('CurMas'.blvl) / 3		12	StrSkill20		ln34		7	StrSkill55		ln56 + skill('CurMas'.blvl) * par8																																40	Sksyn	skillname76	2		63	CurseMastery	StrIncDmgRet	par8		42	CurseMastery	StrIncRadiusplev	0	6																					0
terror	1	3	3	1	0	22	skillname77	skillsd77	skillld77	skillan77	StrSkill3																	1																														19	StrSkill18		par1		12	StrSkill20		par2		2	StrMoveSpeed	StrSkill23	-(par3 + par4 * blvl + skill('CurMas'.blvl))		18	StrTerrorMoveSpdDesc				40	Sksyn	skillname77	2		63	CurseMastery	StrRedMoveSpdplev	1																											0
bone wall	2	3	3	2	0	24	skillname78	skillsd78	skillld78	skillan78	StrSkill3																	1					12	StrSkill20		par2		13			(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl))*par8)																																					40	Sksyn	skillname78	2		63	skillname68	Hpplev	par8		63	skillname88	Hpplev	par8																						0
golem mastery	3	3	1	3	0	46	skillname79	skillsd79	skillld79	skillan79	StrSkill3																	2	StrSkill89	StrSkill23	dm34		4	StrSkill30		ln56		2	StrSkill42	StrSkill23	lvl*par1																	5	StrGolems		1 +blvl / 5		18	StrExtraGolems																																																	0
raise skeletal mage	3	3	3	3	0	28	skillname80	skillsd80	skillld80	skillan80	StrSkill3																	1					13				skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1)	43	StrSkill5		(miss('necromage3'.edns)*(((((skill('Skeleton Mastery'.lvl)*skill('Skeleton Mastery'.par3)+stat('passive_fire_mastery'.accr))*256)/100)+256))/256	(miss('necromage3'.edxs)*(((((skill('Skeleton Mastery'.lvl)*skill('Skeleton Mastery'.par3)+stat('passive_fire_mastery'.accr))*256)/100)+256))/256	43	StrSkill6		(miss('necromage2'.edns)*(((((skill('Skeleton Mastery'.lvl)*skill('Skeleton Mastery'.par3)+stat('passive_cold_mastery'.accr))*256)/100)+256))/256	(miss('necromage2'.edxs)*(((((skill('Skeleton Mastery'.lvl)*skill('Skeleton Mastery'.par3)+stat('passive_cold_mastery'.accr))*256)/100)+256))/256	43	StrSkill7		(miss('necromage4'.edns)*(((((skill('Skeleton Mastery'.lvl)*skill('Skeleton Mastery'.par3)+stat('passive_ltng_mastery'.accr))*256)/100)+256))/256	(miss('necromage4'.edxs)*(((((skill('Skeleton Mastery'.lvl)*skill('Skeleton Mastery'.par3)+stat('passive_ltng_mastery'.accr))*256)/100)+256))/256	43	StrSkill8	StrNecroMagePsn	(miss('necromage1'.edns)*(((((skill('Skeleton Mastery'.lvl)*skill('Skeleton Mastery'.par3)+stat('passive_pois_mastery'.accr))*256)/100)+256))/16	(miss('necromage1'.edxs)*(((((skill('Skeleton Mastery'.lvl)*skill('Skeleton Mastery'.par3)+stat('passive_pois_mastery'.accr))*256)/100)+256))/16	36	StrSkill43a	StrSkill44a	"min((blvl < 4) ?blvl:(2+blvl/3), 8) + stat('extra_skele_mage'.accr) + stat('grims_extra_skele_mage'.accr)"																	40	Sksyn	skillname80	2		18	skillname69																													0
confuse	1	4	3	1	0	30	skillname81	skillsd81	skillld81	skillan81	StrSkill3																	1					31	StrSkill20		ln34		19	StrSkill18		par1 + lvl / 3 + skill('CurMas'.blvl) / 3																	2	StrSkill106	StrSkill23	par5 + par6 * blvl + skill('CurMas'.blvl) * 5		18	StrConfuseAttSpd														40	Sksyn	skillname81	2		63	CurseMastery	StrAttSpdplev	5																											0
