Act	Place
4	uberdiablonew
4	ubertrappedsoul1
4	ubertrappedsoul2
4	ubertrappedsoul3
4	ubertrappedsoul4
4	ubertrappedsoul5
4	SpiderBoss
4	fingermageboss
4	duntrappedsoul
4	willowispboss
4	archerBoss
4	siegebeastMapBoss
4	place_nothing
4	lesserhydra1
4	lesserhydra2
4	lesserhydra3
4	monhydra1
4	monhydra2
4	monhydra3
4	dcloneskmage_fire
4	dcloneskmage_ltng
4	dcloneskmage_cold
4	dcloneskmage_pois
4	place_nothing
5	larzuk
5	drehya
5	malah
5	nihlathak
5	qual-kehk
5	place_impgroup
5	Siege Boss
5	tyrael3
5	cain6
5	place_imp
5	place_minion
5	place_miniongroup
5	catapult2
5	catapult1
5	place_bloodlord
5	catapultspotter2
5	catapultspotter1
5	act5barb1
5	place_deadbarb
5	place_deadminion
5	place_deadimp
5	cain6
5	act5barb3
5	place_reanimateddead
5	ancientstatue1
5	ancientstatue2
5	ancientstatue3
5	Dac Farren
5	baalthrone
5	baaltaunt
5	injuredbarb1
5	injuredbarb2
5	injuredbarb3
5	baalcrab
5	Axe Dweller
5	Bonesaw Breaker
5	Megaflow Rectifier
5	Eyeback Unleashed
5	Threash Socket
5	Pindleskin
5	Snapchip Shatter
5	Anodized Elite
5	Vinvear Molech
5	Sharp Tooth Sayer
5	Magma Torquer
5	Blaze Ripper
5	Frozenstein
5	worldstoneeffect
5	chicken
5	place_champion
5	evilhut
5	BastionBoss
5	ThroneBoss
5	SiegeBoss
5	IceBoss
5	CanyonBoss
5	westmarchMapBoss
5	AshenBoss
5	place_nothing
5	place_nothing
5	lesserhydra1
5	lesserhydra2
5	lesserhydra3
5	monhydra1
5	monhydra2
5	monhydra3
5	dcloneskmage_fire
5	dcloneskmage_ltng
5	dcloneskmage_cold
5	dcloneskmage_pois
5	place_nothing
