Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	120	630	25	419	19	117	14	91	12	428	24	3	22	29	4	86	7	pole	spea	comb	20	Thorns	1	0	0	11	7	Jab	14	80	0	14	10																									2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	75	198	merca201	merca221	7900	120	1430	40	1027	28	173	14	139	12	1196	36	4	45	52	5	142	4	pole	spea	comb	20	Thorns	1	0	0	18	0	Jab	14	80	0	24	0																									2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	120	630	25	419	19	117	14	91	12	428	24	3	22	29	4	86	7	pole	spea	def	20	Defiance	1	0	0	11	7	Jab	14	80	0	14	10																									2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	75	198	merca201	merca221	7900	120	1430	40	1027	28	173	14	139	12	1196	36	4	45	52	5	142	4	pole	spea	def	20	Defiance	1	0	0	18	0	Jab	14	80	0	24	0																									2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	120	630	25	419	19	117	14	91	12	428	24	3	22	29	4	86	7	pole	spea	off	20	Blessed Aim	1	0	0	11	7	Jab	14	80	0	14	10																									2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	75	198	merca201	merca221	7900	120	1430	40	1027	28	173	14	139	12	1196	36	4	45	52	5	142	4	pole	spea	off	20	Blessed Aim	1	0	0	18	0	Jab	14	80	0	24	0																									2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	4	45	52	5	142	4	pole	spea	comb	20	Thorns	1	0	0	18	0	Jab	14	80	0	24	0																									2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	4	45	52	5	142	4	pole	spea	def	20	Defiance	1	0	0	18	0	Jab	14	80	0	24	0																									2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	75	198	merca201	merca221	15000	130	1430	40	1027	28	173	14	139	12	1196	36	4	45	52	5	142	4	pole	spea	off	20	Blessed Aim	1	0	0	18	0	Jab	14	80	0	24	0																									2	2	2	0
Eastern Sorceror	Fire-Normal	0	15	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	fire	10	Inferno	7	60	0	6	10	Fire Ball	7	30	0	4	10																									2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	fire	10	Inferno	7	60	0	13	10	Fire Ball	7	30	0	11	10																									2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	18	107	10	86	8	715	30	5	24	30	4	106	6	swor	shie	fire	10	Inferno	7	60	0	21	10	Fire Ball	7	30	0	19	10																									2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	15	252	merca222	merca241	1500	120	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	cold	10	Glacial Spike	7	60	0	1	5	Chilling Armor	7	50	0	2	10	Ice Blast	7	240	0	6	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	37	252	merca222	merca241	1500	120	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	cold	10	Glacial Spike	7	60	0	5	5	Chilling Armor	7	50	0	9	10	Ice Blast	7	240	0	13	10																			2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	61	252	merca222	merca241	1500	120	672	20	408	16	107	10	86	8	715	30	5	24	30	4	106	4	swor	shie	cold	10	Glacial Spike	7	60	0	9	5	Chilling Armor	7	50	0	17	10	Ice Blast	7	240	0	21	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	15	252	merca222	merca241	1000	110	160	8	80	4	49	10	40	8	15	10		1	7	4	25	7	swor	shie	ltng	10	Charged Bolt	7	30	0	4	5	Lightning	7	30	0	3	10	Static Field	7	100	0	3	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	37	252	merca222	merca241	1000	110	336	14	168	10	77	10	62	8	235	20	3	12	18	4	64	7	swor	shie	ltng	10	Charged Bolt	7	30	0	8	5	Lightning	7	30	0	10	10	Static Field	7	100	0	10	10																			2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	61	252	merca222	merca241	1000	110	672	20	408	16	107	10	86	8	715	30	5	24	30	4	106	4	swor	shie	ltng	10	Charged Bolt	7	30	0	12	5	Lightning	7	30	0	18	10	Static Field	7	100	0	18	10																			2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	37	252	merca222	merca241	9500	120	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	fire	10	Inferno	7	60	0	12	10	Fire Ball	7	30	0	10	10																									2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	61	252	merca222	merca241	9500	120	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	fire	10	Inferno	7	60	0	20	10	Fire Ball	7	30	0	18	10																									2	2	2	1
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	37	252	merca222	merca241	12000	130	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	cold	10	Glacial Spike	7	60	0	4	5	Chilling Armor	7	50	0	8	10	Ice Blast	7	240	0	12	10																			2	2	2	1
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	61	252	merca222	merca241	12000	130	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	cold	10	Glacial Spike	7	60	0	8	5	Chilling Armor	7	50	0	16	10	Ice Blast	7	240	0	20	10																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	37	252	merca222	merca241	10000	120	302	14	151	10	73	10	58	8	212	20	3	10	16	4	61	7	swor	shie	ltng	10	Charged Bolt	7	30	0	7	5	Lightning	7	30	0	9	10	Static Field	7	100	0	9	10																			2	2	2	1
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	61	252	merca222	merca241	10000	120	638	20	391	16	103	10	82	8	692	30	5	22	28	4	103	4	swor	shie	ltng	10	Charged Bolt	7	30	0	11	5	Lightning	7	30	0	17	10	Static Field	7	100	0	17	10																			2	2	2	1
Eastern Sorceror	Fire-Hell	0	21	359	3	3	61	252	merca222	merca241	21000	130	574	20	352	16	99	10	78	8	623	30	5	20	26	4	100	4	swor	shie	fire	10	Inferno	7	60	0	19	10	Fire Ball	7	30	0	17	10																									2	2	2	1
Eastern Sorceror	Cold-Hell	0	22	359	3	3	61	252	merca222	merca241	27000	140	574	20	352	16	99	10	78	8	623	30	5	20	26	4	100	4	swor	shie	cold	10	Glacial Spike	7	60	0	7	5	Chilling Armor	7	50	0	15	10	Ice Blast	7	240	0	19	10																			2	2	2	1
Eastern Sorceror	Ltng-Hell	0	23	359	3	3	61	252	merca222	merca241	21000	130	574	20	352	16	99	10	78	8	623	30	5	20	27	4	100	4	swor	shie	ltng	10	Charged Bolt	7	30	0	10	5	Lightning	7	30	0	16	10	Static Field	7	100	0	16	10																			2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	fire	0	Cleansing	1	0	0	3	7	A3 Merc Fire Ball	7	70	0	5	5	A3 Mastery Fire	1	0	0	1	13	A3 Merc Meteor	7	30	0	9	5													2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	fire	0	Cleansing	1	0	0	11	7	A3 Merc Fire Ball	7	70	0	11	5	A3 Mastery Fire	1	0	0	15	13	A3 Merc Meteor	7	30	0	14	5													2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	fire	0	Cleansing	1	0	0	18	0	A3 Merc Fire Ball	7	70	0	16	5	A3 Mastery Fire	1	0	0	27	13	A3 Merc Meteor	7	30	0	19	5													2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	15	252	merca222	merca241	1500	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	cold	0	Prayer	1	0	0	3	7	A3 Merc Ice Blast	7	70	0	5	9	A3 Mastery Cold	1	0	0	1	13	A3 Merc Blizzard	7	30	0	9	5													2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	49	252	merca222	merca241	1500	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	cold	0	Prayer	1	0	0	11	7	A3 Merc Ice Blast	7	70	0	14	9	A3 Mastery Cold	1	0	0	15	13	A3 Merc Blizzard	7	30	0	14	5													2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	79	252	merca222	merca241	1500	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	cold	0	Prayer	1	0	0	18	0	A3 Merc Ice Blast	7	70	0	22	5	A3 Mastery Cold	1	0	0	27	13	A3 Merc Blizzard	7	30	0	19	5													2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	ltng	0	Holy Shock	1	0	0	6	7	A3 Merc Lightning	7	75	0	6	9	A3 Mastery Ltng	1	0	0	1	13	Merc Static Field	7	25	0	5	7													2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	ltng	0	Holy Shock	1	0	0	14	7	A3 Merc Lightning	7	75	0	16	9	A3 Mastery Ltng	1	0	0	15	13	Merc Static Field	7	25	0	12	7													2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	ltng	0	Holy Shock	1	0	0	20	0	A3 Merc Lightning	7	75	0	24	5	A3 Mastery Ltng	1	0	0	27	13	Merc Static Field	7	25	0	18	7													2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	49	252	merca222	merca241	9500	120	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	fire	0	Cleansing	1	0	0	11	7	A3 Merc Fire Ball	7	70	0	11	5	A3 Mastery Fire	1	0	0	15	13	A3 Merc Meteor	7	30	0	14	5													2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	79	252	merca222	merca241	9500	120	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	fire	0	Cleansing	1	0	0	18	0	A3 Merc Fire Ball	7	70	0	16	5	A3 Mastery Fire	1	0	0	27	13	A3 Merc Meteor	7	30	0	19	5													2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	49	252	merca222	merca241	12000	120	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	cold	0	Prayer	1	0	0	11	7	A3 Merc Ice Blast	7	70	0	14	9	A3 Mastery Cold	1	0	0	15	13	A3 Merc Blizzard	7	30	0	14	5													2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	79	252	merca222	merca241	12000	120	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	cold	0	Prayer	1	0	0	18	0	A3 Merc Ice Blast	7	75	0	22	5	A3 Mastery Cold	1	0	0	27	13	A3 Merc Blizzard	7	30	0	19	5													2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	49	252	merca222	merca241	10000	120	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	ltng	0	Holy Shock	1	0	0	14	7	A3 Merc Lightning	7	75	0	16	9	A3 Mastery Ltng	1	0	0	15	13	Merc Static Field	7	25	0	12	7													2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	79	252	merca222	merca241	10000	120	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	ltng	0	Holy Shock	1	0	0	20	0	A3 Merc Lightning	7	70	0	24	5	A3 Mastery Ltng	1	0	0	27	13	Merc Static Field	7	25	0	18	7													2	2	2	1
